央视,#genre#
东南卫视,http://27.148.240.138/PLTV/88888888/224/3221226754/1.m3u8
漳州新闻综合,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8?zfud
石狮综合,http://218.106.152.196/lsdream/MO13IYx/2000/live.m3u8?zfud
霞浦综合频道,http://218.106.152.196/lsdream/G7wCyZW/4000/live.m3u8?zfud
永安综合频道,http://218.106.152.196/lsdream/x6FnPrm/2000/live.m3u8?fujian
云霄综合,http://live.zzyxxw.com:85/live/xwzh.m3u8?fujian
建宁综合频道,https://p2.weizan.cn/2144741973/075444991326676404/live.m3u8?zfud
福建旅游,http://27.148.240.138/PLTV/88888888/224/3221226854/1.m3u8
福建教育,http://27.148.240.138/PLTV/88888888/224/3221226884/1.m3u8
福建经济,http://27.148.240.138/PLTV/88888888/224/3221226920/1.m3u8
福建乡村振兴•公共,http://27.148.240.138/PLTV/88888888/224/3221226928/1.m3u8
福建新罗,http://stream.lyxltv.com/xltv/sd/live.m3u8

轮播,#genre#
周润发,http://epg.112114.xyz/huya/11342387
李连杰,http://epg.112114.xyz/huya/11342390
甄子丹,http://epg.112114.xyz/huya/11352935
邱淑贞,http://epg.112114.xyz/huya/11352949
刘德华,http://epg.112114.xyz/huya/11342424
林正英,http://epg.112114.xyz/huya/11342421
成龙,http://epg.112114.xyz/huya/11342386
徐峥,http://epg.112114.xyz/huya/11602043
沈腾,http://epg.112114.xyz/huya/11601968
五福星,http://epg.112114.xyz/huya/11282233
张学友,http://epg.112114.xyz/huya/11352878
古天乐,http://epg.112114.xyz/huya/11602041
周星星,http://epg.112114.xyz/huya/11342412
吴京,http://epg.112114.xyz/huya/28445419
经典功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/473734/live_179302204_68184269.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
女神影院,https://pull.kktv8.com/livekktv/99350550.flv
午夜影院,https://pull.kktv8.com/livekktv/99592190.flv
玄幻剧场1,http://epg.112114.xyz/huya/11342414
盗墓系列,http://epg.112114.xyz/huya/11352913
金庸经典,http://epg.112114.xyz/huya/11342427
卧底&警察,http://epg.112114.xyz/huya/11279251
黑帮斗争,http://epg.112114.xyz/huya/11342419
玄幻剧场,http://epg.112114.xyz/huya/11352973
年贺岁档,http://epg.112114.xyz/huya/11601986
这很不同,http://epg.112114.xyz/huya/11602067
女神系列,http://epg.112114.xyz/huya/11336571
邵氏影院,http://epg.112114.xyz/douyu/4246519
华语经典,http://epg.112114.xyz/douyu/434971
漫威影片,http://epg.112114.xyz/douyu/6140589
华语电影,http://epg.112114.xyz/douyu/3928
华语动作电影,http://epg.112114.xyz/douyu/1504768
科幻系列,http://epg.112114.xyz/douyu/8107217
恐怖经典,http://epg.112114.xyz/douyu/1165374
恐怖电影,http://epg.112114.xyz/douyu/310926
喜剧电影,http://epg.112114.xyz/douyu/9292492
欧美大片,http://epg.112114.xyz/douyu/2793084
译制影片,http://epg.112114.xyz/douyu/2436390
喜剧经典,http://epg.112114.xyz/douyu/9650887
豆瓣高分,http://epg.112114.xyz/douyu/8770422
斗鱼电影4K,http://epg.112114.xyz/douyu/9249162
女神金电影,http://epg.112114.xyz/douyu/747764
贝爷影厅1,http://epg.112114.xyz/douyu/252802
贝爷影厅2,http://epg.112114.xyz/douyu/36337
霍格影片,http://epg.112114.xyz/douyu/8814650
可乐电影,http://epg.112114.xyz/douyu/20415
冰冰经典电影,http://epg.112114.xyz/douyu/74374
奶虫恐怖电影,http://epg.112114.xyz/douyu/263824
避风港影院,http://epg.112114.xyz/douyu/9826611
林林影视,http://epg.112114.xyz/douyu/9652323
变种人电影,http://epg.112114.xyz/douyu/9651304
小U电影,http://epg.112114.xyz/douyu/96577
小宇60帧,http://epg.112114.xyz/douyu/323876
麓山迷踪,http://epg.112114.xyz/douyu/4505431
高帧影片,http://epg.112114.xyz/douyu/6763930
米娅电影,http://epg.112114.xyz/douyu/6537888

汪汪队立大功,#genre#
汪汪队长001,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/f96cb7c6f8354da1ab9c67a92bd03296/1200.m3u8
汪汪队长002,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/11a3110e23b546878b9fc34ab087fc99/1200.m3u8
汪汪队长003,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/a076bfa8f5534589a6a32a1211d526f6/1200.m3u8
汪汪队长004,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1e628c3b1c7f41ef9569439bbc20c3b1/1200.m3u8
汪汪队长005,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/a02cb85d5c0a4840ae320f189fef9ad5/1200.m3u8
汪汪队长006,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/b361d95253e04a75b5c262c067e26e7a/1200.m3u8
汪汪队长007,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d1ae53296a16475c8bc2667fccf1718f/1200.m3u8
汪汪队长008,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/cb462eedab924864bb52a076eff3f35a/1200.m3u8
汪汪队长009,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/667dc8e9785047f4a2bf2008759a0d41/1200.m3u8
汪汪队长010,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/c7bdfb0bacfc4b76b6492b371645bec9/1200.m3u8
汪汪队长011,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/104718fde00347c0bdf3892056f6c424/1200.m3u8
汪汪队长012,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/10bcc3bdf9534b86a3ecc558eb88e8c1/1200.m3u8
